acc.date,type,reg,operator,fat,location,dmg,acc.year,acc_type
2019-09-24,Cessna,1917,Department of Royal Rainmaking and Agricultural Aviation,2.0,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,w/o,2019.0,Fatal
2019-09-30,Antonov,UR-CKL,Cavok Air,0.0,Liverpool International Airport (LPL),sub,2019.0,Non-Fatal
2019-09-30,Gulfstream,XB-PVO,private,0.0,"Blue Creek, Orange Walk",w/o,2019.0,Non-Fatal
2019-10-01,Boeing,A6-EBU,Emirates,0.0,near Batam Island,non,2019.0,Non-Fatal
2019-10-02,Boeing,N93012,The Collings Foundation,7.0,"Windsor Locks-Bradley International Airport, CT (BDL)",w/o,2019.0,Fatal
2019-10-04,Antonov,UR-CAH,Ukraine Air Alliance,5.0,"1,1 km SE of Lviv-Danylo Halytskyi International Airport (LWO)",sub,2019.0,Fatal
2019-10-07,Hawker,N86MN,Delta Private Jets,0.0,"Fort Myers-Southwest Florida International Airport, FL (RSW)",sub,2019.0,Non-Fatal
2019-10-07,Honda HA-420 HondaJet,N166HJ,Pro by Air,0.0,"Charleston International Airport, SC (CHS)",sub,2019.0,Non-Fatal
2019-10-10,Antonov,EK-72903,Air Force of the Democratic Republic of the Congo,8.0,near Kole,w/o,2019.0,Fatal
2019-10-11,de Havilland Canada DHC-6 Twin Otter 100,N166DH,Skydive Georgia,0.0,"Cedartown-Polk County Airport, GA",sub,2019.0,Non-Fatal
2019-10-11,Fokker,5Y-IZO,Silverstone Air Services,0.0,near Nairobi-Wilson Airport (WIL),w/o,2019.0,Non-Fatal
2019-10-12,Embraer,C6-KMC,Pineapple Air,0.0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min,2019.0,Non-Fatal
2019-10-12,ATR,JA01JC,Japan Air Commuter,0.0,65 km north-northwest of Tanegashima Airport (TNE/RJFG),non,2019.0,Non-Fatal
2019-10-16,Bombardier,N307KP,Elite Air Inc,0.0,"Augusta-Bush Field, GA (AGS/KAGS)",non,2019.0,Non-Fatal
2019-10-17,Saab,N686PA,PenAir - Peninsula Airways,1.0,"Unalaska-Tom Madsen Airport, AK (DUT)",sub,2019.0,Fatal
2019-10-18,Airbus,15001,Royal Canadian Air Force - RCAF,0.0,"Trenton Canadian Forces Base, ON (YTR)",sub,2019.0,Non-Fatal
2019-10-18,Douglas,N437GB,Atlantic Air Cargo,0.0,"4,6 km NW off Nassau-Lynden Pindling International Airport (NAS)",unk,2019.0,Non-Fatal
2019-10-22,Canadair,N8837B,"Delta Connection, opb Endeavor Air",0.0,"near Atlanta Hartsfield-Jackson International Airport, GA (ATL)",sub,2019.0,Non-Fatal
2019-10-22,Basler,FAS116,Fuerza Aérea Salvadoreña,0.0,San Salvador/Ilopango International Airport (SAL),sub,2019.0,Non-Fatal
2019-10-25,Rockwell,N465BC,private,0.0,"Sipacate, Escuintla",w/o,2019.0,Non-Fatal
2019-10-26,de Havilland Canada DHC-3T/M601 Turbine Otter,C-GBTU,Blue Water Aviation Services,3.0,"Family Lake, Little Grand Rapids First Nation, MB",w/o,2019.0,Fatal
2019-10-26,Airbus,PK-GPE,Garuda Indonesia Airways,0.0,near Banda Aceh (BTJ),non,2019.0,Non-Fatal
2019-10-27,Gulfstream,(N530GA),private,0.0,"Vista Hermosa, Ixcán",w/o,2019.0,Non-Fatal
2019-10-27,Let,YI-BYO,Abeer Air Services,0.0,Kolnyang County,w/o,2019.0,Non-Fatal
2019-10-29,de Havilland Canada DHC-8-402Q Dash 8,N402QX,Horizon Air,0.0,"near Boise, ID",sub,2019.0,Non-Fatal
2019-10-31,Cessna,N926FE,"Corporate Air, opf FedEx",0.0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",min,2019.0,Non-Fatal
2019-11-03,Boeing,N796AV,Avianca,0.0,near Barcelona,non,2019.0,Non-Fatal
2019-11-05,Learjet,XA-VBD,USMX AirLink,0.0,San Jose Cabo-Los Cabos Airport (SJD),sub,2019.0,Non-Fatal
2019-11-11,Boeing,TC-ACR,ACT Airlines,0.0,Istanbul-Atatürk Airport (ISL/LTBA),non,2019.0,Non-Fatal
2019-11-11,British Aerospace,(N237DX),private,0.0,Petén,w/o,2019.0,Non-Fatal
2019-11-11,Embraer,N619AE,"American Eagle, opb Envoy Air",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,2019.0,Non-Fatal
2019-11-14,Cessna,PT-LTJ,José João Abdalla Filho,5.0,"Maraú-Barra Grande Airport, BA (SIRI)",w/o,2019.0,Fatal
2019-11-15,Cessna,N777HW,ETG Aviation LLC,0.0,"San Antonio International Airport, TX (SAT)",sub,2019.0,Non-Fatal
2019-11-15,Cessna,N973CG,Pilot Point Consultancy LLC,0.0,"San Antonio International Airport, TX (SAT)",sub,2019.0,Non-Fatal
2019-11-16,Airbus,V5-ANO,Air Namibia,0.0,Frankfurt International Airport (FRA/EDDF),min,2019.0,Non-Fatal
2019-11-16,Boeing,HL7204,Korean Air,0.0,Frankfurt International Airport (FRA/EDDF),sub,2019.0,Non-Fatal
2019-11-21,Boeing,TC-JGZ,THY Turkish Airlines,0.0,Odessa-Central Airport (ODS),sub,2019.0,Non-Fatal
2019-11-21,Gulfstream,TC-AEH,Tahe Havacilik,0.0,Odessa-Central Airport (ODS),sub,2019.0,Non-Fatal
2019-11-22,Boeing,YV3012,Avior Airlines,0.0,Bogotá-Eldorado Airport (BOG/SKBO),sub,2019.0,Non-Fatal
2019-11-23,Beechcraft,(XB-PYB),private,0.0,Saint-Jean du Sud,w/o,2019.0,Non-Fatal
2019-11-25,de Havilland Canada DHC-8-311 Dash 8,9J-PZB,Proflight Air Services,0.0,near Lusaka,sub,2019.0,Non-Fatal
2019-11-25,McDonnell Douglas,N975DL,Delta Air Lines,0.0,Atlanta Hartsfield - Jackson (ATL / KATL),sub,2019.0,Non-Fatal
2019-12-01,British Aerospace,N949CL,private,0.0,"near El Picudo, San Andrés",w/o,2019.0,Non-Fatal
2019-12-01,Beechcraft,C6-FER,Flamingo Air Charter,0.0,Black Point Airstrip (MYEB),sub,2019.0,Non-Fatal
2019-12-02,British Aerospace,false reg.,private,0.0,near San Andrés Villa Seca,w/o,2019.0,Non-Fatal
2019-12-03,British Aerospace,N469RJ,Business Jet Managers Inc,0.0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub,2019.0,Non-Fatal
2019-12-03,Basler,C-FKAL,North Star Air,0.0,"0,5 km SW of Sachigo Lake Airport, ON (ZPB)",sub,2019.0,Non-Fatal
2019-12-06,British Aerospace,(N293WB),private,0.0,"0,4 km NW of Chan Chen, Corozal",w/o,2019.0,Non-Fatal
2019-12-09,Lockheed,990,Fuerza Aérea de Chile,38.0,520 km NW off King George Island,w/o,2019.0,Fatal
2019-12-09,Cessna,N4602B,Martinaire,1.0,"ca 11 km NE of Victoria Regional Airport, TX (VCT)",w/o,2019.0,Fatal
2019-12-10,de Havilland Canada DHC-8-402Q Dash 8,ET-AQC,Ethiopian Airlines,0.0,Juba Airport (JUB),sub,2019.0,Non-Fatal
2019-12-15,Airbus,VH-EBC,Qantas,0.0,"69 km south east Bathurst, NSW",non,2019.0,Non-Fatal
2019-12-15,Embraer,N648AE,"Piedmont Airlines, opf American Eagle",0.0,"Philadelphia, Pennsylvania",non,2019.0,Non-Fatal
2019-12-15,Grumman,(XB-BZH),private,0.0,Quiché,w/o,2019.0,Non-Fatal
2019-12-16,Embraer,N805AE,"Envoy Air, opf American Eagle",0.0,"Alexandria, Louisiana",non,2019.0,Non-Fatal
2019-12-16,Airbus,EC-LQO,Air Europa,0.0,near Madrid-Barajas Adolfo Suárez Airport (MAD/LEMD),non,2019.0,Non-Fatal
2019-12-17,Beechcraft,N160RW,Ritch Air LLC,0.0,"Visalia Airport, CA (VIS)",sub,2019.0,Non-Fatal
2019-12-18,Embraer,N959UW,American Airlines,0.0,"Disputanta, Virginia",non,2019.0,Non-Fatal
2019-12-18,Beechcraft,N72MM,WL Aviation LLC,0.0,"Fresno Yosemite International Airport, CA (FAT)",sub,2019.0,Non-Fatal
2019-12-18,Cessna,C-GOJG,C-GHGR Holdings,0.0,"near Scottsbluff, NE",sub,2019.0,Non-Fatal
2019-12-19,Boeing,N68802,United Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non,2019.0,Non-Fatal
2019-12-19,Beechcraft,YV1104,Representaciones Aero3,9.0,near Charallave-Óscar Machado Zuloaga Airport,w/o,2019.0,Fatal
2019-12-21,Boeing,N7739A,Southwest Airlines,0.0,"near Kansas City International Airport, MO (MCI)",sub,2019.0,Non-Fatal
2019-12-22,Boeing,N87513,United Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub,2019.0,Non-Fatal
2019-12-24,Cessna,XA-TWN,Calafia Airlines,2.0,near Tastiota,w/o,2019.0,Fatal
2019-12-25,Airbus,B-50001,Tigerair Taiwan,0.0,100 km NNE of Miyazaki Airport,non,2019.0,Non-Fatal
